15,15,15,4,4,4,27,27,27,27,4,4,4,4,4,4,4,2,2,3,5,3,7,5,5,5,5,5,5,5,5,5,5,3,7,5,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,7,4,7,
29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,2,2,2,2,2,2,2,2,
4,7,4,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,2,2,2,2,2,2,2,2,2,2,2,2,
23,21,23,23,21,23,23,23,22,14,14,4,31,31,31,31,31,31,4,4,4,4,4,2,2,3,3,3,7,3,3,7,7,7,3,7,3,7,3,7,3,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,3,7,
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,27,4,4,
22,21,21,21,21,21,23,21,21,23,21,21,21,23,22,21,23,21,23,22,23,22,23,23,23,23,23,23,21,23,4,26,4,4,4,26,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,3,3,3,3,2,2,2,2,
23,21,21,15,23,23,15,15,15,15,21,21,26,4,4,4,4,4,4,4,3,3,3,5,3,5,3,3,3,5,5,5,3,5,5,5,3,5,7,7,7,7,7,7,7,7,7,7,7,3,7,3,7,7,7,4,7,7,7,4,
7,7,5,3,3,5,1,1,1,3,1,1,3,3,1,1,1,3,3,3,3,3,3,3,25,25,25,25,2,27,27,27,27,4,4,14,4,14,4,14,31,4,4,14,4,4,4,14,4,31,31,4,31,4,4,4,4,31,4,31,
4,4,4,4,4,27,4,4,7,4,3,3,1,3,1,1,1,3,1,1,1,2,1,1,3,3,2,3,3,25,25,25,25,25,25,25,25,27,27,14,14,14,29,14,14,14,4,14,14,14,14,14,14,4,14,4,14,4,14,14,
4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,3,3,1,3,1,1,3,3,3,3,3,25,3,25,25,25,25,25,25,27,27,27,27,14,14,14,4,14,14,4,14,14,14,4,14,14,4,14,31,31,4,14,14,31,14,
3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,27,27,27,27,14,4,14,4,14,4,14,4,14,31,31,4,4,4,4,31,4,31,4,31,4,31,14,4,4,4,4,4,4,4,
